,de,en-GB,en,es,es-MX,fr-CA,fr,it,ja,ko,nl,ru,zh-Hans,zh-Hant
CoopEnemy_SakeArtillery,Kanonya,Big Shot,Big Shot,Artilleroide,Artilleroide,Gros boulet,Gros boulet,Cannoniere,テッキュウ,철 구슬,Bombarie,ядровик,铁球鱼,鐵球魚
CoopEnemy_SakeBigMouth,Schlämmermaul,Mudmouth,Mudmouth,Morrolodo,Bocalodo,Salmonoïde de boue,Salmonoïde de boue,Fangonoide,ドロシャケ,진흙연어,Moddermuil,илистый ревун,泥鲑鱼,泥鮭魚
CoopEnemy_SakeBigMouthGold,Schlämmermaul,Mudmouth,Mudmouth,Morrolodo,Bocalodo,Salmonoïde de boue,Salmonoïde de boue,Fangonoide,ドロシャケ,진흙연어,Moddermuil,илистый ревун,泥鲑鱼,泥鮭魚
CoopEnemy_SakeCopter,Kopta,Chinook,Chinook,Salmocóptero,Salmocóptero,Salmocoptère,Salmocoptère,Salmocottero,シャケコプター,연어콥터,Salmokopter,геликомуль,直升机鲑鱼,直升機鮭魚
CoopEnemy_SakeDolphin,Sturmreifer,Flipper-Flopper,Flipper-Flopper,Chapotero,Chapotero,Ploufion,Ploufion,Tuffone,ダイバー,다이버,Dompelaar,хулахлюп,潜水鱼,潛水魚
CoopEnemy_SakeFlyBagman,Samko,Snatcher,Snatcher,Rastrerón,Hurtón,Barboteur,Barboteur,Razziatore,タマヒロイ,알주어,Zammel,умыкумжа,拾蛋鱼,拾蛋魚
CoopEnemy_SakePillar,Mobelisk,Fish Stick,Fish Stick,Viga,Viga,Pylônoïde,Pylônoïde,Trivellaccio,ハシラ,기둥,Salmonoliet,бурмонид,柱鱼,柱魚
CoopEnemy_SakeRope,Horroboros,Horrorboros,Horrorboros,Dragón,Dragón,Salmophide,Salmophide,Orroboros,タツ,용,Horroboros,скверноборос,辰龙,辰龍
CoopEnemy_SakeSaucer,Deckler,Slammin' Lid,Slammin' Lid,Tapaollas,Tapaollas,Couverclard,Couverclard,Coperchiotto,ナベブタ,냄비 뚜껑,Dreksel,мокрышка,锅盖鱼,鍋蓋魚
CoopEnemy_Sakediver,Grablax,Maws,Maws,Fáucex,Mandíburo,Gobb,Gobb,Boccalone,モグラ,두더지,Snaai,Жуй-Горбуш,鼹鼠鱼,鼴鼠魚
CoopEnemy_Sakedozer,Killgrill,Griller,Griller,Chaparrilla,Brasaleta,Barbeurk,Barbeurk,Grill,グリル,그릴,Griller,жаровнер,烤架鱼,烤架魚
CoopEnemy_SakelienBomber,Bäm,Steelhead,Steelhead,Ferroz,Ferroz,Tête-de-pneu,Tête-de-pneu,Bomber,バクダン,폭탄,Staalkop,Дядя Семг,炸弹鱼,炸彈魚
CoopEnemy_SakelienCupTwins,Rakzak,Flyfish,Flyfish,Drónido,Drónido,Dronoïde,Aéro Ben,Salmodrone,カタパッド,어깨 패드,Salmodrone,неркетчик,垫肩飞鱼,墊肩飛魚
CoopEnemy_SakelienGiant,Malmsalm,Cohozuna,Cohozuna,Salmonote,Salmonote,Salmotori,Salmotori,Colossalmonoide,ヨコヅナ,천하장사,Sumosalmo,Исполид,横纲,橫綱
CoopEnemy_SakelienGolden,Goldie,Goldie,Goldie,Salmóreo,Orónido,Dorax,Dorax,Pinne d'oro,キンシャケ,황금연어,Goldie,Великий Сам О’Нид,金鲑鱼,金鮭魚
CoopEnemy_SakelienLarge,Brocken,Cohock,Cohock,Escamacarra,Agallón,Sumoche,Sumoche,Pinna Pingue,ドスコイ,덩치연어,Sallog,сковорейдер,大胖鱼,大胖魚
CoopEnemy_SakelienShield,Pfanndit,Scrapper,Scrapper,Chatarrónido,Parrillero,Bricabrute,Bricabrute,Blindomito,テッパン,철판,Jutter,кетанкист,铁板鱼,鐵板魚
CoopEnemy_SakelienSmall,Salmini,Smallfry,Smallfry,Cenutrín,Escamita,Salmioche,Salmioche,Salmonello,コジャケ,꼬마연어,Salmini,малетчик,小鲑鱼,小鮭魚
CoopEnemy_SakelienSnake,Staal,Steel Eel,Steel Eel,Raspoide,Anguiladera,Carnacier,Carnacier,Anguilmone,ヘビ,뱀,Staal,громыхариус,蛇鱼,蛇魚
CoopEnemy_SakelienStandard,Salmo,Chum,Chum,Salmoche,Salmoide,Salmoche,Salmoche,Spadello,シャケ,연어,Salmo,скороварвар,鲑鱼,鮭魚
CoopEnemy_SakelienTower,Stapla,Stinger,Stinger,Pilónido,Fregatorre,Marmirador,Marmirador,Pentolaio,タワー,타워,Staaplo,Котельный Сиг,高塔鱼,高塔魚
CoopEnemy_Sakerocket,Regnar,Drizzler,Drizzler,Barreno,Paragüista,Crachin,Crachin,Piovasco,コウモリ,박쥐,Miezer,метеоголец,蝙蝠鱼,蝙蝠魚
SkinName_COP001,Orange Arbeitsklamotten,Orange Slopsuit,Orange Slopsuit,Mono de trabajo naranja,Uniforme de trabajo naranja,Salopette orange,Salopette orange,Salopette arancione,バイトツナギ オレンジ,오렌지 작업복,Oranje werkkloffie,Оранжевый комбинезон,打工连身工作服 橘色,打工連身工作服 橘色
SkinName_COP002,Grüne Arbeitsklamotten,Green Slopsuit,Green Slopsuit,Mono de trabajo verde,Uniforme de trabajo verde,Salopette verte,Salopette verte,Salopette verde,バイトツナギ グリーン,그린 작업복,Groen werkkloffie,Зеленый комбинезон,打工连身工作服 绿色,打工連身工作服 綠色
SkinName_COP003,Gelbe Arbeitsklamotten,Yellow Slopsuit,Yellow Slopsuit,Mono de trabajo amarillo,Uniforme de trabajo amarillo,Salopette jaune,Salopette jaune,Salopette gialla,バイトツナギ イエロー,옐로 작업복,Geel werkkloffie,Желтый комбинезон,打工连身工作服 黄色,打工連身工作服 黃色
SkinName_COP004,Rosa Arbeitsklamotten,Pink Slopsuit,Pink Slopsuit,Mono de trabajo rosa,Uniforme de trabajo rosa,Salopette rose,Salopette rose,Salopette rosa,バイトツナギ ピンク,핑크 작업복,Roze werkkloffie,Розовый комбинезон,打工连身工作服 粉红色,打工連身工作服 粉紅色
SkinName_COP005,Blaue Arbeitsklamotten,Blue Slopsuit,Blue Slopsuit,Mono de trabajo azul,Uniforme de trabajo azul,Salopette bleue,Salopette bleue,Salopette blu,バイトツナギ ブルー,블루 작업복,Blauw werkkloffie,Голубой комбинезон,打工连身工作服 蓝色,打工連身工作服 藍色
SkinName_COP006,Schwarze Arbeitsklamotten,Black Slopsuit,Black Slopsuit,Mono de trabajo negro,Uniforme de trabajo negro,Salopette noire,Salopette noire,Salopette nera,バイトツナギ ブラック,블랙 작업복,Zwart werkkloffie,Черный комбинезон,打工连身工作服 黑色,打工連身工作服 黑色
SkinName_COP007,Weiße Arbeitsklamotten,White Slopsuit,White Slopsuit,Mono de trabajo blanco,Uniforme de trabajo blanco,Salopette blanche,Salopette blanche,Salopette bianca,バイトツナギ ホワイト,화이트 작업복,Wit werkkloffie,Белый комбинезон,打工连身工作服 白色,打工連身工作服 白色
SkinName_COP008,Orange Wattwater,Orange Gloopsuit,Orange Gloopsuit,Vadeador naranja,Overol de trabajo naranja,Combi caoutchouc orange,Combi caoutchouc orange,Tuta da pesca arancione,バイトウェーダー オレンジ,오렌지 아르바이트 웨이더,Oranje ploeterkloffie,Гидрокомплект «Оранж»,打工防水衣 橘色,打工防水衣 橘色
SkinName_COP009,Schwarze Wattwater,Black Gloopsuit,Black Gloopsuit,Vadeador negro,Overol de trabajo negro,Combi caoutchouc noire,Combi caoutchouc noire,Tuta da pesca nera,バイトウェーダー ブラック,블랙 아르바이트 웨이더,Zwart ploeterkloffie,Гидрокомплект «Нуар»,打工防水衣 黑色,打工防水衣 黑色
